City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,aigues-mortes,43.5698,4.1871,296.15,94,broken clouds,5.14,FR,6518
158,happy valley-goose bay,53.3168,-60.3315,287.32,77,overcast clouds,2.57,CA,999
159,mount pearl,47.5166,-52.7813,290.45,90,broken clouds,6.69,CA,2004771
160,sidney,-33.8679,151.2073,288.91,79,light rain,2.57,AU,2002865
161,esmeraldas,-19.7625,-44.3139,292.63,74,overcast clouds,2.72,BR,8344
162,haiku-pauwela,20.9219,-156.3051,300.16,65,scattered clouds,8.23,US,18862
163,oyama,36.3,139.8,304.59,57,scattered clouds,3.17,JP,7958
164,timimoun,29.2639,0.231,303.36,20,clear sky,3.09,DZ,1101
165,kenai,60.5544,-151.2583,289.2,89,clear sky,4.63,US,7680
166,meadow lake,34.8014,-106.5436,301.18,42,broken clouds,2.2,US,2002722
167,machico,32.7,-16.7667,297.43,83,few clouds,5.66,PT,6894
168,pisco,-13.7,-76.2167,291.18,82,clear sky,4.12,PE,8691
169,kirkwall,58.9848,-2.9587,285.18,94,scattered clouds,0.51,GB,1437
170,arroyo,41.6096,-4.7969,295.43,71,clear sky,1.03,ES,2080393
171,ola,59.5833,151.2833,302.12,74,few clouds,3.57,RU,48852
172,saint-claude,46.5,5.8333,291.59,96,scattered clouds,1.7,FR,2002126
173,alta,69.9689,23.2717,287.74,84,light rain,2.57,NO,2012462
174,pariaman,-0.619,100.12,297.18,84,light rain,1.28,ID,9423
175,big stone gap,36.8677,-82.7745,297.56,94,overcast clouds,0.85,US,4739
176,pakxan,18.3778,103.6601,300.33,92,light rain,0.88,LA,2080637
177,minot air force base,48.4209,-101.3391,291.25,93,broken clouds,1.54,US,2079521
178,alofi,-19.0595,-169.9187,297.09,88,light intensity shower rain,6.69,NU,7306
179,lompoc,34.6391,-120.4579,295.38,86,scattered clouds,4.47,US,2005037
180,north bend,43.4065,-124.2243,297.73,82,clear sky,4.12,US,5239
181,virginia beach,36.8529,-75.978,302.61,86,scattered clouds,1.54,US,2016102
182,timaru,-44.4,171.25,282.63,84,broken clouds,3.58,NZ,20853
183,bandon,51.7469,-8.7425,286.92,94,overcast clouds,2.42,IE,1563
184,port hedland,-20.3167,118.5667,303.18,23,few clouds,2.57,AU,9585
185,portland,45.5234,-122.6762,307.65,36,clear sky,2.24,US,2008548
186,mahdia,35.5047,11.0622,296.12,72,clear sky,1.08,TN,1193
187,fortuna,40.5982,-124.1573,288.67,91,overcast clouds,3.6,US,2008778
188,ageyevo,54.1588,36.4693,291.3,96,overcast clouds,3.43,RU,2043359
189,colonia,50.9333,6.95,289.8,86,clear sky,1.03,DE,2000227
190,ceres,37.5949,-120.9577,305.12,46,clear sky,2.57,US,4949
191,alliance,40.9153,-81.1059,294.93,87,overcast clouds,2.1,US,2003797
192,cannonvale,-20.2833,148.7,294.81,56,clear sky,3.01,AU,9494
193,keflavik,64.0049,-22.5624,283.1,100,clear sky,3.6,IS,90
194,kurchatov,51.6601,35.6521,292.02,83,few clouds,2.58,RU,2007257
195,ketchikan,55.3422,-131.6461,290.41,77,clear sky,2.57,US,7741
196,vila velha,-20.3297,-40.2925,296.12,83,broken clouds,4.12,BR,8474
197,tekkekoy,41.2117,36.46,292.01,94,mist,1.54,TR,7017
198,mazatlan,23.2167,-106.4167,304.21,81,broken clouds,2.24,MX,2003695
199,ballina,-28.8667,153.5667,301.36,43,clear sky,2.85,AU,2032240
200,mahina,-17.5065,-149.489,300.79,65,broken clouds,3.09,PF,7318
201,alappuzha,9.49,76.3264,302.59,82,overcast clouds,2.37,IN,2075015
202,spring creek,40.7266,-115.5859,299.98,20,clear sky,2.99,US,3961
203,konarka,19.9,86.1167,301.37,73,overcast clouds,3.09,IN,9113
204,tateyama,34.9833,139.8667,304.11,85,clear sky,7.06,JP,8057
205,fort st. john,56.2499,-120.8529,297.09,43,broken clouds,7.2,CA,975
206,yeppoon,-23.1333,150.7333,300.03,48,clear sky,4.83,AU,9499
207,milton,34.1322,-84.3007,300.07,89,scattered clouds,1.07,US,2003300
208,villa regina,-39.1,-67.0667,288.14,15,overcast clouds,4.42,AR,2042310
209,waimea,20.0231,-155.6717,296.18,79,scattered clouds,1.34,US,2038499
210,valparaiso,-33.0393,-71.6273,290.08,92,clear sky,1.54,CL,2034956
211,olinda,-8.0089,-34.8553,296.0,88,light rain,2.57,BR,8426
212,itupiranga,-5.1347,-49.3267,297.33,59,few clouds,0.62,BR,8403
213,quellon,-43.1167,-73.6167,283.29,100,overcast clouds,1.54,CL,8508
214,guanica,17.9716,-66.908,301.51,65,few clouds,4.36,PR,2046247
215,egilsstadir,65.2653,-14.3948,278.1,93,scattered clouds,1.54,IS,82
216,katsuura,35.1333,140.3,304.16,88,clear sky,6.03,JP,8057
217,kudat,6.8837,116.8477,305.11,66,few clouds,3.13,MY,9375
218,kapa'a,22.0752,-159.319,302.33,72,broken clouds,5.66,US,2005473
219,mildura,-34.2,142.15,289.3,68,broken clouds,2.47,AU,2007247
220,sanctuary point,-35.1114,150.629,286.9,94,overcast clouds,2.82,AU,2010723
221,holbrook,40.8123,-73.0784,299.07,76,broken clouds,2.57,US,4550
222,selfoss,63.9331,-20.9971,284.84,96,few clouds,1.12,IS,2005664
